Reference, Value, Footprint,Manufacturer,Part Number
BT1,S2B-PH-SM4-TB(LF)(SN),Solutions:4UCON-0217-20519,JST Sales,S2B-PH-SM4-TB(LF)(SN)
"C1,C2,C8,C9",1uF,Capacitors_SMD:C_0603,,
"C3,C7",10uF,Capacitors_SMD:C_0603,,
"C4,C10,C11",0.1uF,Capacitors_SMD:C_0603,,
"C5,C6",18pF,Capacitors_SMD:C_0603,,
D1,LED,Capacitors_SMD:C_0603,,
"D2,D3",CDBU0130L,Diodes_SMD:D_0603,Comchip,CDBU0130L
DIS1,505110-1092,Solutions:MOLEX_505110-1092,Molex,505110-1092
J1,CONN_01X05,DNP,,
J2,CONN_01X01,DNP,,
J3,CONN_01X01,DNP,,
J4,10118193-0001LF,Solutions:10118193_microUSB,Amphenol,10118193-0001LF
R1,470K,Capacitors_SMD:C_0603,,
"R6,R10,R11,R12",10K,Capacitors_SMD:C_0603,,
"R2,R3",22R,Capacitors_SMD:C_0603,,
"R4,R5,R7,R8,R9,R13",220R,Capacitors_SMD:C_0603,,
"SW1,SW2",PTS810_SJK_250_SMTR_LFS,Solutions:PTS810,C&K,PTS810_SJK_250_SMTR_LFS
SW3,SSSS810701,Solutions:SSSS810701_ALPS_SPDT,Alps,SSSS810701
U1,25LC1024T-I/SM,Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm,Microchip,25LC1024T-I/SM
U2,"TC7S14FU,LF",Solutions:SSOP-5-0.65_PITCH,Toshiba,"TC7S14FU,LF"
U3,PIC32MX250F128B-I/SS,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,Microchip,PIC32MX250F128B-I/SS
U4,TLV76033DBZR,TO_SOT_Packages_SMD:SOT-23,Texas Instruments,TLV76033DBZR
U5,MCP73831-2-OT,TO_SOT_Packages_SMD:SOT-23-5,Microchip,MCP73831-2-OT
Y1,ECS-080-18-23G-JGN-TR,Solutions:ECS-080-18-23G-JGN-TR_8MHz_60x35,ECS,ECS-080-18-23G-JGN-TR
